,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
729,2022-06-20 15:31:12+00:00,https://twitter.com/mamazfavourite/status/1538907326194778114,mamazfavourite,Twitter Web App,"Lagos, Nigeria","#NG30DaysOfLearning 
With the help of amazing tutors at microsoft especially @TheOyinbooke , I was able to analyze a dataset on COVID19 and also build my first dashboard in excel 
#data #DataAnalytics 
Please all reviews are welcome https://t.co/0Zl3DTYB9w",18,1,0,4
730,2022-06-20 14:26:55+00:00,https://twitter.com/SaobanL/status/1538891147619319809,SaobanL,Twitter Web App,,"Covid19 analysis using excel ☺️🫠 
GitHub link -- https://t.co/ckuSfLUy4b
#30DaysOfLearning 
@TheOyinbooke 🙌 https://t.co/91hx3PPlY0",8,0,0,1
731,2022-06-20 13:57:48+00:00,https://twitter.com/TheOyinbooke/status/1538883820304355329,TheOyinbooke,Twitter for Android,Nigeria,"Today, we connected to 6 different data sources with MS Power BI Desktop.
This demonstration is to show the great possibilities with this App. 
We will build on top of this going forward.
Catch up here
https://t.co/VS5oGIMFHX
#30DaysOfLearning",118,29,2,4
732,2022-06-20 12:05:17+00:00,https://twitter.com/_JosiahAdesola/status/1538855504495116288,_JosiahAdesola,Twitter Web App,"Lagos, Nigeria","The process is well documented on my repo
https://t.co/vOWn1AOp2d
Thanks to the organizers of the #30daysoflearning 
  @DavidAbu_  @japhletnwamu @Richie4love https://t.co/NhhPLMwWGk",4,2,0,0
733,2022-06-20 12:05:15+00:00,https://twitter.com/_JosiahAdesola/status/1538855497436221440,_JosiahAdesola,Twitter Web App,"Lagos, Nigeria","I just completed my Covid-19 excel dashboard by #30daysoflearning  with Microsoft #Excel It was really a great process, involving web scraping from Github, data transformation, analysis and bringing out wonderful insights.
Reviews will be appreciated @TheOyinbooke @jessica_xls https://t.co/6uRlSYB3E5",46,3,0,3
734,2022-06-20 11:02:16+00:00,https://twitter.com/AjibilaRidwan/status/1538839647236894721,AjibilaRidwan,Twitter Web App,Lagos.,"@TheOyinbooke sir, Thank you for giving us #30daysoflearning 

It's a opportunity for me to use an azure cloud for the first time.

#welearnagainthisweek💪 https://t.co/BGOZYvfqG2",0,0,0,0
735,2022-06-20 10:41:12+00:00,https://twitter.com/patoghomai/status/1538834343329681408,patoghomai,Twitter for Android,"Southampton, England","Started on Saturday 18th, it's been a good one #MOT June #30daysoflearning",0,0,0,0
736,2022-06-20 09:47:23+00:00,https://twitter.com/TheOyinbooke/status/1538820799355883520,TheOyinbooke,Twitter for Android,Nigeria,"15Minutes to Go #30DaysOfLearning
Join me in this Introductory class to Microsoft Power BI Desktop.
Learn how to connect to over 6 Data Sources with Power BI including MS SQL Database.

Register for the session here and don't miss it

https://t.co/pLHT9aIgOK",49,15,0,0
737,2022-06-20 09:47:20+00:00,https://twitter.com/Gracie_Omotola/status/1538820787322355714,Gracie_Omotola,Twitter for Android,"Lagos, Nigeria","Wooww... I can't contain my happiness... I created my first Dashboard using Microsoft Excel through the help of @TheOyinbooke. I know it's not perfect but I'm getting there.. You can check it out https://t.co/zuTTA2Qb4i 
#30DaysofLearning
#Microsoft https://t.co/QZoNpUaeWf",6,2,0,0
738,2022-06-20 08:28:29+00:00,https://twitter.com/keziahuchechi/status/1538800943734657025,keziahuchechi,Twitter for Android,Nigeria,Last week was amazing. Can't wait for all that this week will bring on the #30DaysOfLearning. https://t.co/oHaLWFhcdN,1,0,0,0
739,2022-06-20 07:57:04+00:00,https://twitter.com/Xybercrypto/status/1538793039476445185,Xybercrypto,Twitter for Android,Blockchain,"Check out Today work 

Time: 35 minutes
Application: Canva
@Eportalnet

Corrections ND criticize #cNc

#designer #Flyers #edutwitter #30DaysOfLearning #30daysofdesign https://t.co/nwyPY1FMT0",0,0,0,0
740,2022-06-20 07:48:32+00:00,https://twitter.com/TheOyinbooke/status/1538790890155692032,TheOyinbooke,Twitter Web App,Nigeria,"Mondays are for Learning💪💪
Day 8 of #30DaysOfLearning

11am (WAT) today, join Olanrewaju Oyinbooke (Senior Cloud Advocate at Microsoft) as he introduces us to Microsoft Power BI Desktop in a friendly way.

Register for the session here and don't miss it
https://t.co/pLHT9aIgOK",49,21,2,3
741,2022-06-20 05:33:11+00:00,https://twitter.com/AdetayoMatthew/status/1538756827906813956,AdetayoMatthew,Twitter Web App,"Lagos, Nigeria","https://t.co/VVqDlonhNP
#30DaysOfLearning 
pls check out my covid 19 data analysis framework
@TheOyinbooke",1,0,0,1
742,2022-06-20 04:48:09+00:00,https://twitter.com/Fabulousnani01/status/1538745497216864257,Fabulousnani01,Twitter for Android,,"To all Students/Participants of ongoing @Microsoft  #30daysoflearning 

kindly take time to complete at least 1 module in the Cloud Skill Challenge.

It is very important and this is one of the way we will evaluate your participation in the programme

🧵🧵🧵",0,0,0,1
743,2022-06-19 23:48:12+00:00,https://twitter.com/Fabulousnani01/status/1538670009521647617,Fabulousnani01,Twitter for Android,,The growth within five days is Huge. We go again this week. #30DaysOfLearning https://t.co/ABic7p3C9K,0,0,0,0
744,2022-06-19 23:25:40+00:00,https://twitter.com/ZaynabKareem2/status/1538664339191865346,ZaynabKareem2,Twitter for Android,,"At last!
Nothing on my pc's screen got me this excited😭😊
@Richie4love thank you so much for your help 
#30DaysOfLearning 
#NG30DaysOfLearning https://t.co/br5eSD6wez",12,1,0,1
745,2022-06-19 22:06:23+00:00,https://twitter.com/Abdroqeeb_Ola/status/1538644389731393537,Abdroqeeb_Ola,Twitter for Android,"Oyo, Nigeria","#NG30DaysOfLearning 
After watching the tutorial videos by @TheOyinbooke, I analyzed the COVID 19 data and created a dashboard in MS Excel. You can check out the documentation here https://t.co/Js3ZtuDtlp

#NG30DaysOfLearning  #30DaysOfLearning #DataAnalytics #Microsoft https://t.co/IE42sT6neP",9,2,0,0
746,2022-06-19 21:24:13+00:00,https://twitter.com/_KBlack_01/status/1538633776514883588,_KBlack_01,Twitter Web App,,"I learnt how clustering can be used to create unsupervised machine learning models that group data observations into clusters. I used the scikit-learn framework in Python to train a clustering model.

@TheOyinbooke #NG30DaysOfLearning",0,0,0,0
747,2022-06-19 21:17:02+00:00,https://twitter.com/debunmiT/status/1538631970086961157,debunmiT,Twitter for Android,,"Day4:I learnt how to build dashboards at the click of a button. How to: Analyse my microsoft teams activity data using power bi, Generate dashboard using Sharepoint, I can now incorporate my power bi into Powerpoint. Tech sis in the making 🤪 
#NG30DaysOfLearning 
#DataAnalytics https://t.co/R6KULtC51G",4,1,0,1
748,2022-06-19 21:08:06+00:00,https://twitter.com/oyelajairemide/status/1538629720035708931,oyelajairemide,Twitter for Android,"Lagos, Nigeria","Practice makes perfect, and that's what I have been up to. https://t.co/FhCzb2cBYX contains the data analysis for Module1 practice for #NG30DaysOfLearning. I also pushed my code files straight to GitHub from VisualStudioCode(which I used to run my kernels).",5,1,0,0
749,2022-06-19 21:04:07+00:00,https://twitter.com/onlyblackgurl/status/1538628719987793921,onlyblackgurl,Twitter Web App,Somewhere on earth,"Today I earned my ""Get started building with Power BI"" badge! I’m so proud to be celebrating this achievement and hope this inspires you to start your own @MicrosoftLearn journey!

 https://t.co/odH6YPtm49 #MSLearnBadge #30DaysOfLearning",0,0,0,0
750,2022-06-19 20:33:33+00:00,https://twitter.com/Croprestige/status/1538621027852374017,Croprestige,Twitter for Android,"University of Ibadan, Ibadan.","Join me on this webinar, From Learning to Practicing: Data Analysis 
 https://t.co/R9pTOeJ9X5 

#30DaysOfLearning 
#NG30DaysOfLearning",3,0,0,0
751,2022-06-19 18:37:45+00:00,https://twitter.com/MaimunaLukman/status/1538591884045697024,MaimunaLukman,Twitter for Android,"Federal Capital Territory, Nig","She guided me and helped installed the tools on my system. Right now I am here with my laptop, Mifi, long note and pen almost done with my #cloudchallenges on #DataAnalytics
#30DaysOfLearning
And thank to @TheOyinbooke
For this life time opportunity",3,2,0,1
752,2022-06-19 18:21:03+00:00,https://twitter.com/oladimejivic17/status/1538587681923416069,oladimejivic17,Twitter for Android,,"@MelineAhoulou @MelineAhoulou ......

We are all in the same shoes.... I am also learning Data Analytics with #NG30DaysOfLearning, taking the Google Data Analytics Certificate course, taking @EntryLevelNet Product Management Course also.... It all comes to a place of priority..",1,0,0,1
753,2022-06-19 18:10:39+00:00,https://twitter.com/captainprince_/status/1538585062928748547,captainprince_,Twitter for iPhone,"Weija, Ghana",@Zionbonzo @TheOyinbooke Thank you Sir. God bless you guys for coming up with #30DaysOfLearning,1,0,0,0
754,2022-06-19 17:54:30+00:00,https://twitter.com/captainprince_/status/1538580999080226817,captainprince_,Twitter for iPhone,"Weija, Ghana",I analyzed the Covid 19 cases reported in African countries from Jan 2020 to June 2022. Stay tuned as I document it into my GitHub account.. @TheOyinbooke @Zionbonzo                                            #30DaysOfLearning https://t.co/AQ8NsAd3p7,48,7,1,7
755,2022-06-19 16:21:30+00:00,https://twitter.com/Temi_of_OAU/status/1538557594104651776,Temi_of_OAU,Twitter for Android,Earth X,"Today I earned my ""Get data in Power BI"" badge! I’m so proud to be celebrating this achievement and hope that this inspires you to start your own @MicrosoftLearn journey!
@TheOyinbooke
#30daysoflearning
 https://t.co/t64N85WRXz #MSLearnBadge",1,0,0,0
756,2022-06-19 16:18:18+00:00,https://twitter.com/ADENIYIJUSTONE/status/1538556791579090944,ADENIYIJUSTONE,Twitter Web App,"Oyo, Nigeria",No impossibility until man give a trial. Thanks to @TheOyinbooke and his team for this opportunity to learn. #NG30DaysOfLearning https://t.co/VRBS0Spcxw,2,0,0,0
757,2022-06-19 14:39:48+00:00,https://twitter.com/TheOyinbooke/status/1538532001241870338,TheOyinbooke,Twitter for Android,Nigeria,"One of the beautiful highlights of #30DaysOfLearning is that the participants aren't out here sharing certificates of completion. They are rather Sharing what they learnt and built in 5 days.
This week, we go again 💪💪💪",87,10,1,7
758,2022-06-19 14:37:42+00:00,https://twitter.com/eri_ayo_oluwa/status/1538531474319855618,eri_ayo_oluwa,Twitter for Android,,"https://t.co/9aoc3XnON8 #30daysoflearning

I am really excited for this journey.",0,0,0,0
759,2022-06-19 14:33:32+00:00,https://twitter.com/debunmiT/status/1538530423227170816,debunmiT,Twitter for Android,,"Day3: The data that was scraped in day2 was used to create this dashboard in excel. I documented my steps in Github https://t.co/mxvN3fQFri
Pls kindly help review @TheOyinbooke @addy_xls @jessica_xls 
#NG30DaysOfLearning #DataAnalytics https://t.co/9Ecjalz1Mu",11,1,0,4
760,2022-06-19 14:10:08+00:00,https://twitter.com/debola222/status/1538524536727121921,debola222,Twitter for iPhone,Globe,"#NG30DaysOfLearning
#30DaysOfLearning Great opportunity by @TheOyinbooke has been productive. I discovered how amazing and connected Microsoft 365 is, I got to activate a GitHub developer pack, Azure student package and Data analytics track cloud skill challenge. I learnt to https://t.co/DiJHF1S7l6",10,2,0,1
761,2022-06-19 13:04:41+00:00,https://twitter.com/ZionDoz/status/1538508065993117696,ZionDoz,Twitter for Android,Nigeria,"Day 4 of #NG30DaysOfLearning
-How to Analyze Microsoft Teams activity data using Power BI.
-How to Generate Dashboard from SharePoint List Data.
-How to embed Microsoft Power BI Report directly into PowerPoint.
#dataScientist
#DataScience https://t.co/JbPMEaVDPC",13,5,0,1
762,2022-06-19 12:58:29+00:00,https://twitter.com/ZionDoz/status/1538506505342828546,ZionDoz,Twitter for Android,Nigeria,"Day 3 of #30DaysOfLearning
-Scraping Web for Global Covid19 Data.
-Cleaned and Transformed the data.
-Thoroughly Analysed the data.
https://t.co/TP4e44dknw
You can get the data from that link,It is a live-data that updates hourly and the analysis as well.
#DataScience https://t.co/ImtTysFRta",8,7,0,1
763,2022-06-19 10:29:13+00:00,https://twitter.com/Zuba6Zubair/status/1538468938996191232,Zuba6Zubair,Twitter for iPhone,Nigeria,"@its_royalgold @TheOyinbooke This is beautiful, just a little adjustments on the color and you’re perfect. Great job

I  am also on the #NG30DaysOfLearning challenge let’s follow each other to create networks",4,0,0,0
764,2022-06-19 10:07:34+00:00,https://twitter.com/its_royalgold/status/1538463492696588288,its_royalgold,Twitter for iPhone,"Ibadan, Nigeria","I build COVID-19 DASHBOARD WITH MICROSOFT EXCEL.
@TheOyinbooke 
#30DaysOfLearning https://t.co/PRCg1hcnh5",6,0,0,3
765,2022-06-19 09:41:10+00:00,https://twitter.com/unstoppable_tp/status/1538456847941763072,unstoppable_tp,Twitter for Android,"Ekiti, Nigeria","If you are a newbie in #DataAnalytics, #PowerPlatform, and #DataScience and you are not in the boat of #NG30DaysOfLearning omo you dey miss o😒🥺

You can still hop in though, it's not too late until it's too late... https://t.co/QlGZUqU4HF",6,4,0,0
766,2022-06-19 08:53:42+00:00,https://twitter.com/ReeCREATOR/status/1538444902383640577,ReeCREATOR,Twitter for Android,Nigeria,@TheOyinbooke Just  registered for the #30DaysOfLearning  #dataAnalysis fingers crossed 🤞  let's gooo 🔥,0,0,0,0
767,2022-06-19 07:39:30+00:00,https://twitter.com/DisraeliEzeala/status/1538426231137378306,DisraeliEzeala,Twitter for Android,"Port Harcourt, Nigeria","#NG30DaysOfLearning 
Its been a difficult road, but progressing regardless
Will soon be dropping my visualization
 thanks 😊 @TheOnyibooke for this opportunity",0,0,0,0
768,2022-06-19 04:34:07+00:00,https://twitter.com/AdetayoMatthew/status/1538379575809519618,AdetayoMatthew,Twitter Web App,"Lagos, Nigeria","This plus + #N30daysoflearning
#30daysoflearning
#dataanalytics https://t.co/tzuMjEdopA",1,0,0,0
769,2022-06-19 02:32:10+00:00,https://twitter.com/its_royalgold/status/1538348886678544384,its_royalgold,Twitter for iPhone,"Ibadan, Nigeria","I can’t believe I design this astonishing dashboard, thanks to @TheOyinbooke  for this opportunity.
#30DaysOfLearning #DataAnalyst https://t.co/V8yp4h603d",332,28,0,19
